Year,Country of Origin Code,Country of Asylum Code,Country of Origin Name,Country of Asylum Name,Population Type,location,urbanRural,accommodationType,Female 0-4,Female 5-11,Female 12-17,Female 18-59,Female 60 or more,Female Unknown,Female Total,Male 0-4,Male 5-11,Male 12-17,Male 18-59,Male 60 or more,Male Unknown,Male Total,Total
#date+year,#country+code+origin,#country+code+asylum,#country+name+origin,#country+name+asylum,#indicator+population_type,,,,#affected+f+infants+age_0_4,#affected+f+children+age_5_11,#affected+f+adolescents+age_12_17,#affected+f+adults+age_18_59,#affected+f+elderly+age_60,#affected+f+unknown_age,#affected+f+total,#affected+m+infants+age_0_4,#affected+m+children+age_5_11,#affected+m+adolescents+age_12_17,#affected+m+adults+age_18_59,#affected+m+elderly+age_60,#affected+m+unknown_age,#affected+m+total,#affected+all+total
2013,AFG,AUT,Afghanistan,Austria,REF,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11906
2013,AFG,AZE,Afghanistan,Azerbaijan,ASY,,,,0,0,8,7,0,0,15,0,6,0,5,0,0,11,164
2013,AFG,AZE,Afghanistan,Azerbaijan,REF,,,,21,36,27,112,7,0,203,25,34,26,304,11,0,400,603
2013,AFG,BEL,Afghanistan,Belgium,ASY,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,580
2013,AFG,BEL,Afghanistan,Belgium,REF,,,,0,0,0,0,0,438,438,0,0,0,0,0,1198,1198,4328
2013,AFG,BLR,Afghanistan,Belarus,ASY,,,,0,7,6,0,0,0,13,0,0,5,19,0,0,24,37
2013,AFG,BLR,Afghanistan,Belarus,REF,,,,8,25,42,71,7,0,153,18,25,28,175,5,0,251,404
2013,AFG,BRA,Afghanistan,Brazil,ASY,,,,0,0,0,0,0,0,0,0,0,0,5,0,0,5,5
2013,AFG,BRA,Afghanistan,Brazil,REF,,,,0,0,0,10,0,0,10,0,0,0,28,0,0,28,38
2013,AFG,BIH,Afghanistan,Bosnia and Herzegovina,ASY,,,,0,0,0,0,0,0,0,0,0,6,0,0,0,6,6
2013,AFG,BGR,Afghanistan,Bulgaria,ASY,,,,25,36,43,137,8,0,249,22,70,73,165,5,0,335,584
2013,AFG,BGR,Afghanistan,Bulgaria,REF,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268
